panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logFC,FDR,minus_log10_FDR,is_deg_by_threshold,DEG_direction,module_for_plot,label_for_plot
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000510,gene2634,0.0538574191916492,0.928063301289711,0.0324224004371383,False,not_DEG,Other,
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000511,ileS,-0.165597039027796,0.22697378292528,0.64402430398941,False,not_DEG,Other,ileS
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000512,valS,-0.549714422331323,0.0002989968281804,3.524333418735959,False,not_DEG,Other,valS
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000513,rlmB,0.251680959788796,0.110024613954021,0.9585101465817188,False,not_DEG,Other,rlmB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000515,ihfA,-1.21846065737507,0.0006187325394075,3.20849704364782,True,down,Other,ihfA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000516,hupB,-0.603957976719907,0.0010836999409707,2.965090950288337,False,not_DEG,Other,hupB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000517,parE,-0.168797501277637,0.140292100956214,0.8529667809153533,False,not_DEG,Other,parE
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000518,gyrB,1.09133751724986,4.13071436150233e-07,6.38397483540645,True,up,Other,gyrB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000519,holB,0.506511464851007,0.006315209782142,2.199612218233998,False,not_DEG,Other,holB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000520,dnaX,-0.482179894872188,0.0007629730522683,3.117490800784111,False,not_DEG,Other,dnaX
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000521,ispA,1.05195352266568,9.53318713103667e-05,4.020761881940714,True,up,Other,ispA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000522,ispB,-1.19196985997672,2.22863879446297e-06,5.651960313880982,True,down,Other,ispB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000523,murC,0.777481600179576,5.28350168240204e-05,4.277078149950103,False,not_DEG,Other,murC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000524,mpl,-0.821318664880886,0.0001486022128035,3.827974723541833,False,not_DEG,Other,mpl
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000525,rodA,0.048658468028985,0.828110803836992,0.0819115493559026,False,not_DEG,Other,rodA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000526,ftsW,0.116142422699046,0.484095887315141,0.3150686069354935,False,not_DEG,Other,ftsW
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000527,ftsI,0.698954965001367,0.0006922621453486,3.159729416063996,False,not_DEG,Other,ftsI
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000528,mrdA,1.44195748987131,4.3982678447642e-05,4.356718326598442,True,up,Membrane maintenance,mrdA
